Time: 0 ns | Next Addr: xx | Current Addr: xx
Time: 10 ns | Next Addr: 00 | Current Addr: 00
Time: 20 ns | Next Addr: 00 | Current Addr: 00
Time: 30 ns | Next Addr: 01 | Current Addr: 00
Time: 40 ns | Next Addr: 01 | Current Addr: 01
Time: 50 ns | Next Addr: 02 | Current Addr: 01
Time: 60 ns | Next Addr: 02 | Current Addr: 02
Time: 70 ns | Next Addr: 03 | Current Addr: 02
Time: 80 ns | Next Addr: 03 | Current Addr: 03
Time: 90 ns | Next Addr: 04 | Current Addr: 03
Time: 100 ns | Next Addr: 04 | Current Addr: 04
Time: 110 ns | Next Addr: 05 | Current Addr: 04
Time: 120 ns | Next Addr: 05 | Current Addr: 05
Time: 130 ns | Next Addr: 06 | Current Addr: 05
Time: 140 ns | Next Addr: 06 | Current Addr: 06
Time: 150 ns | Next Addr: 03 | Current Addr: 06
Time: 160 ns | Next Addr: 03 | Current Addr: 03
Time: 170 ns | Next Addr: 04 | Current Addr: 03
Time: 180 ns | Next Addr: 04 | Current Addr: 04
Time: 190 ns | Next Addr: 05 | Current Addr: 04
Time: 200 ns | Next Addr: 05 | Current Addr: 05
Time: 210 ns | Next Addr: 06 | Current Addr: 05
Time: 220 ns | Next Addr: 06 | Current Addr: 06
Time: 230 ns | Next Addr: 03 | Current Addr: 06
Time: 240 ns | Next Addr: 03 | Current Addr: 03
Time: 250 ns | Next Addr: 04 | Current Addr: 03
Time: 260 ns | Next Addr: 04 | Current Addr: 04
Time: 270 ns | Next Addr: 05 | Current Addr: 04
Time: 280 ns | Next Addr: 05 | Current Addr: 05
Time: 290 ns | Next Addr: 06 | Current Addr: 05
Time: 300 ns | Next Addr: 06 | Current Addr: 06
Time: 310 ns | Next Addr: 03 | Current Addr: 06
Time: 320 ns | Next Addr: 03 | Current Addr: 03
Time: 330 ns | Next Addr: 04 | Current Addr: 03
Time: 340 ns | Next Addr: 04 | Current Addr: 04
Time: 350 ns | Next Addr: 05 | Current Addr: 04
Time: 360 ns | Next Addr: 05 | Current Addr: 05
Time: 370 ns | Next Addr: 06 | Current Addr: 05
Time: 380 ns | Next Addr: 06 | Current Addr: 06
Time: 390 ns | Next Addr: 03 | Current Addr: 06
Time: 400 ns | Next Addr: 03 | Current Addr: 03
Time: 410 ns | Next Addr: 04 | Current Addr: 03
Time: 420 ns | Next Addr: 04 | Current Addr: 04
Time: 430 ns | Next Addr: 05 | Current Addr: 04
Time: 440 ns | Next Addr: 05 | Current Addr: 05
Time: 450 ns | Next Addr: 06 | Current Addr: 05
Time: 460 ns | Next Addr: 06 | Current Addr: 06
Time: 470 ns | Next Addr: 03 | Current Addr: 06
Time: 480 ns | Next Addr: 03 | Current Addr: 03
Time: 490 ns | Next Addr: 04 | Current Addr: 03
Time: 500 ns | Next Addr: 04 | Current Addr: 04
Time: 510 ns | Next Addr: 05 | Current Addr: 04
Time: 520 ns | Next Addr: 05 | Current Addr: 05
Time: 530 ns | Next Addr: 06 | Current Addr: 05
Time: 540 ns | Next Addr: 06 | Current Addr: 06
Time: 550 ns | Next Addr: 03 | Current Addr: 06
Time: 560 ns | Next Addr: 03 | Current Addr: 03
Time: 570 ns | Next Addr: 04 | Current Addr: 03
Time: 580 ns | Next Addr: 04 | Current Addr: 04
Time: 590 ns | Next Addr: 05 | Current Addr: 04
Time: 600 ns | Next Addr: 05 | Current Addr: 05
Time: 610 ns | Next Addr: 06 | Current Addr: 05
Time: 620 ns | Next Addr: 06 | Current Addr: 06
Time: 630 ns | Next Addr: 03 | Current Addr: 06
Time: 640 ns | Next Addr: 03 | Current Addr: 03
Time: 650 ns | Next Addr: 04 | Current Addr: 03
Time: 660 ns | Next Addr: 04 | Current Addr: 04
Time: 670 ns | Next Addr: 05 | Current Addr: 04
Time: 680 ns | Next Addr: 05 | Current Addr: 05
Time: 690 ns | Next Addr: 06 | Current Addr: 05
Time: 700 ns | Next Addr: 06 | Current Addr: 06
Time: 710 ns | Next Addr: 03 | Current Addr: 06
Time: 720 ns | Next Addr: 03 | Current Addr: 03
Time: 730 ns | Next Addr: 04 | Current Addr: 03
Time: 740 ns | Next Addr: 04 | Current Addr: 04
Time: 750 ns | Next Addr: 05 | Current Addr: 04
Time: 760 ns | Next Addr: 05 | Current Addr: 05
Time: 770 ns | Next Addr: 06 | Current Addr: 05
Time: 780 ns | Next Addr: 06 | Current Addr: 06
Time: 790 ns | Next Addr: 03 | Current Addr: 06
Time: 800 ns | Next Addr: 03 | Current Addr: 03
Time: 810 ns | Next Addr: 04 | Current Addr: 03
Time: 820 ns | Next Addr: 04 | Current Addr: 04
Time: 830 ns | Next Addr: 05 | Current Addr: 04
Time: 840 ns | Next Addr: 05 | Current Addr: 05
Time: 850 ns | Next Addr: 07 | Current Addr: 05
Time: 860 ns | Next Addr: 07 | Current Addr: 07
Time: 870 ns | Next Addr: 08 | Current Addr: 07
